Time,Vx (mph),Vy (mph)
"9:01",-0.30000,5.00000
"9:02",0.06515,4.99861
"9:03",0.21640,4.99444
"9:04",0.33246,4.98750
"9:05",0.43030,4.97778
"9:06",0.51650,4.96528
"9:07",0.59443,4.95000
"9:08",0.66609,4.93194
"9:09",0.73280,4.91111
"9:10",0.79545,4.88750
"9:11",0.85470,4.86111
"9:12",0.91106,4.83194
"9:13",0.96491,4.80000
"9:14",1.01656,4.76528
"9:15",1.06626,4.72778
"9:16",1.11421,4.68750
"9:17",1.16059,4.64444
"9:18",1.20555,4.59861
"9:19",1.24919,4.55000
"9:20",1.29164,4.49861
"9:21",1.33299,4.44444
"9:22",1.37332,4.38750
"9:23",1.41270,4.32778
"9:24",1.45119,4.26528
"9:25",1.48885,4.20000
"9:26",1.52574,4.13194
"9:27",1.56190,4.06111
"9:28",1.59737,3.98750
"9:29",1.63218,3.91111
"9:30",1.66638,3.83194
"9:31",1.70000,3.75000
"9:32",1.73306,3.66528
"9:33",1.76559,3.57778
"9:34",1.79762,3.48750
"9:35",1.82916,3.39444
"9:36",1.86025,3.29861
"9:37",1.89089,3.20000
"9:38",1.92111,3.09861
"9:39",1.95093,2.99444
"9:40",1.98035,2.88750
"9:41",2.00940,2.77778
"9:42",2.03809,2.66528
"9:43",2.06643,2.55000
"9:44",2.09444,2.43194
"9:45",2.12212,2.31111
"9:46",2.14949,2.18750
"9:47",2.17656,2.06111
"9:48",2.20333,1.93194
"9:49",2.22982,1.80000
"9:50",2.25604,1.66528
"9:51",2.28199,1.52778
"9:52",2.30768,1.38750
"9:53",2.33312,1.24444
"9:54",2.35832,1.09861
"9:55",2.38328,0.95000
"9:56",2.40801,0.79861
"9:57",2.43252,0.64444
"9:58",2.45681,0.48750
"9:59",2.48089,0.32778
"10:00",2.50476,0.16528
"10:01",2.52843,0.20000
"10:02",2.55190,0.16528
"10:03",2.57518,0.32778
"10:04",2.59828,0.48750
"10:05",2.62119,0.64444
"10:06",2.64392,0.79861
"10:07",2.66648,0.95000
"10:08",2.68887,1.09861
"10:09",2.71109,1.24444
"10:10",2.73315,1.38750
"10:11",2.75505,1.52778
"10:12",2.77679,1.66528
"10:13",2.79839,1.80000
"10:14",2.81983,1.93194
"10:15",2.84113,2.06111
"10:16",2.86228,2.18750
"10:17",2.88329,2.31111
"10:18",2.90416,2.43194
"10:19",2.92490,2.55000
"10:20",2.94551,2.66528
"10:21",2.96599,2.77778
"10:22",2.98634,2.88750
"10:23",3.00656,2.99444
"10:24",3.02666,3.09861
"10:25",3.04664,3.20000
"10:26",3.06650,3.29861
"10:27",3.08625,3.39444
"10:28",3.10588,3.48750
"10:29",3.12540,3.57778
"10:30",3.14480,3.66528
"10:31",3.16410,3.75000
"10:32",3.18329,3.83194
"10:33",3.20238,3.91111
"10:34",3.22136,3.98750
"10:35",3.24024,4.06111
"10:36",3.25903,4.13194
"10:37",3.27771,4.20000
"10:38",3.29629,4.26528
"10:39",3.31478,4.32778
"10:40",3.33318,4.38750
"10:41",3.35148,4.44444
"10:42",3.36970,4.49861
"10:43",3.38782,4.55000
"10:44",3.40585,4.59861
"10:45",3.42380,4.64444
"10:46",3.44166,4.68750
"10:47",3.45943,4.72778
"10:48",3.47712,4.76528
"10:49",3.49473,4.80000
"10:50",3.51226,4.83194
"10:51",3.52971,4.86111
"10:52",3.54708,4.88750
"10:53",3.56437,4.91111
"10:54",3.58158,4.93194
"10:55",3.59872,4.95000
"10:56",3.61578,4.96528
"10:57",3.63277,4.97778
"10:58",3.64968,4.98750
"10:59",3.66653,4.99444
"11:00",3.68330,4.99861